Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),PGP,Hour_after
sinai,TMPRSS2,ASAP-0011184,5,>,1,
sinai,TMPRSS2,ASAP-0011176,5,>,1,
sinai,TMPRSS2,ASAP-0011137,0.0964,=,1,
sinai,TMPRSS2,ASAP-0011137,0.477,=,1,
sinai,TMPRSS2,ASAP-0011129,0.0722,=,1,
sinai,TMPRSS2,ASAP-0011124,3.56,=,1,
sinai,TMPRSS2,ASAP-0011124,1.61,=,1,
sinai,TMPRSS2,ASAP-0011052,0.527,=,1,
sinai,TMPRSS2,ASAP-0011049,0.801,=,1,
sinai,TMPRSS2,ASAP-0011049,0.602,=,1,
sinai,TMPRSS2,ASAP-0011034,2.93,=,1,
sinai,TMPRSS2,ASAP-0011034,1.22,=,1,
sinai,TMPRSS2,ASAP-0011031,5,>,1,
sinai,TMPRSS2,ASAP-0011031,4.62,=,1,
sinai,TMPRSS2,ASAP-0010752,0.222,=,1,
sinai,TMPRSS2,ASAP-0010752,5.89E-03,=,1,
sinai,TMPRSS2,ASAP-0010752,0.291,=,1,
sinai,TMPRSS2,ASAP-0010743,1.68,=,1,
sinai,TMPRSS2,ASAP-0010743,1.5,=,1,
sinai,TMPRSS2,ASAP-0010716,5,>,1,
sinai,TMPRSS2,ASAP-0010715,5,>,1,
sinai,TMPRSS2,ASAP-0008674,5,>,1,
sinai,TMPRSS2,ASAP-0008674,2.42,=,1,
sinai,TMPRSS2,ASAP-0000733,0.154,=,1,
sinai,TMPRSS2,ASAP-0000733,0.104,=,1,
sinai,TMPRSS2,ASAP-0000733,0.536,=,1,
sinai,TMPRSS2,ASAP-0000733,0.187,=,1,
sinai,TMPRSS2,ASAP-0000654,0.659,=,1,
sinai,TMPRSS2,ASAP-0000375,0.361,=,1,
sinai,TMPRSS2,ASAP-0000370,0.0271,=,1,
sinai,TMPRSS2,ASAP-0000370,0.0287,=,1,
sinai,TMPRSS2,ASAP-0000370,0.0278,=,1,
sinai,TMPRSS2,ASAP-0000370,0.0456,=,1,
sinai,TMPRSS2,ASAP-0000272,0.2,=,1,
sinai,TMPRSS2,ASAP-0000175,0.0904,=,1,
mavda,TMPRSS2,ASAP-0015637,6.96,=,0,48
mavda,TMPRSS2,ASAP-0015637,5.52,=,0,48
mavda,TMPRSS2,ASAP-0013722,0.287,=,0,48
mavda,TMPRSS2,ASAP-0013722,0.215,=,0,48
mavda,TMPRSS2,ASAP-0013414,0.411,=,0,48
mavda,TMPRSS2,ASAP-0013414,0.341,=,0,48
mavda,TMPRSS2,ASAP-0013398,0.653,=,0,48
mavda,TMPRSS2,ASAP-0013398,0.579,=,0,48
mavda,TMPRSS2,ASAP-0013299,8.33,=,0,48
mavda,TMPRSS2,ASAP-0013299,7.32,=,0,48
mavda,TMPRSS2,ASAP-0013298,36,>,0,48
mavda,TMPRSS2,ASAP-0013298,36,>,0,48
mavda,TMPRSS2,ASAP-0013273,2.59,=,0,48
mavda,TMPRSS2,ASAP-0013273,2.73,=,0,48
mavda,TMPRSS2,ASAP-0013265,9.97,=,0,48
mavda,TMPRSS2,ASAP-0013265,9.35,=,0,48
mavda,TMPRSS2,ASAP-0012337,17.8,=,0,48
mavda,TMPRSS2,ASAP-0012337,36,=,0,48
mavda,TMPRSS2,ASAP-0011485,12.3,=,0,48
mavda,TMPRSS2,ASAP-0011485,12.6,=,0,48
mavda,TMPRSS2,ASAP-0011141,2.31,=,0,48
mavda,TMPRSS2,ASAP-0011141,2.21,=,0,48
mavda,TMPRSS2,ASAP-0011138,13.1,=,0,48
mavda,TMPRSS2,ASAP-0011138,13,=,0,48
mavda,TMPRSS2,ASAP-0011137,10.9,=,0,48
mavda,TMPRSS2,ASAP-0011137,9.55,=,0,48
mavda,TMPRSS2,ASAP-0011129,2.18,=,0,48
mavda,TMPRSS2,ASAP-0011129,2.28,=,0,48
mavda,TMPRSS2,ASAP-0000733,2.66,=,0,48
mavda,TMPRSS2,ASAP-0000733,2.56,=,0,48
mavda,TMPRSS2,ASAP-0000370,4.2,=,0,48
mavda,TMPRSS2,ASAP-0000370,3.59,=,0,48
mavda,TMPRSS2,ASAP-0015679,1.33,=,1,48
mavda,TMPRSS2,ASAP-0015679,1.28,=,1,48
mavda,TMPRSS2,ASAP-0015677,0.608,=,1,48
mavda,TMPRSS2,ASAP-0015677,0.387,=,1,48
mavda,TMPRSS2,ASAP-0015672,0.356,=,1,48
mavda,TMPRSS2,ASAP-0015672,0.43,=,1,48
mavda,TMPRSS2,ASAP-0015666,1.39,=,1,48
mavda,TMPRSS2,ASAP-0015666,1.45,=,1,48
mavda,TMPRSS2,ASAP-0015663,0.623,=,1,48
mavda,TMPRSS2,ASAP-0015663,0.378,=,1,48
mavda,TMPRSS2,ASAP-0015660,0.467,=,1,48
mavda,TMPRSS2,ASAP-0015660,0.507,=,1,48
mavda,TMPRSS2,ASAP-0015657,1.42,=,1,48
mavda,TMPRSS2,ASAP-0015657,1.35,=,1,48
mavda,TMPRSS2,ASAP-0015656,0.411,=,1,48
mavda,TMPRSS2,ASAP-0015656,0.351,=,1,48
mavda,TMPRSS2,ASAP-0015648,1.89,=,1,48
mavda,TMPRSS2,ASAP-0015648,1.49,=,1,48
mavda,TMPRSS2,ASAP-0015638,1.2,=,1,48
mavda,TMPRSS2,ASAP-0015638,0.937,=,1,48
mavda,TMPRSS2,ASAP-0015637,0.092,=,1,48
mavda,TMPRSS2,ASAP-0015637,0.134,=,1,48
mavda,TMPRSS2,ASAP-0015637,0.133,=,1,48
mavda,TMPRSS2,ASAP-0015637,0.124,=,1,48
mavda,TMPRSS2,ASAP-0015637,0.138,=,1,48
mavda,TMPRSS2,ASAP-0015517,0.829,=,1,48
mavda,TMPRSS2,ASAP-0015517,1.27,=,1,48
mavda,TMPRSS2,ASAP-0015514,0.839,=,1,48
mavda,TMPRSS2,ASAP-0015514,1.23,=,1,48
mavda,TMPRSS2,ASAP-0015512,0.841,=,1,48
mavda,TMPRSS2,ASAP-0015512,1.45,=,1,48
mavda,TMPRSS2,ASAP-0015508,0.545,=,1,48
mavda,TMPRSS2,ASAP-0015508,1.16,=,1,48
mavda,TMPRSS2,ASAP-0015376,0.503,=,1,48
mavda,TMPRSS2,ASAP-0015376,0.526,=,1,48
mavda,TMPRSS2,ASAP-0015294,0.761,=,1,48
mavda,TMPRSS2,ASAP-0015294,0.734,=,1,48
mavda,TMPRSS2,ASAP-0015242,0.644,=,1,48
mavda,TMPRSS2,ASAP-0015242,1.04,=,1,48
mavda,TMPRSS2,ASAP-0015239,1.98,=,1,48
mavda,TMPRSS2,ASAP-0015239,3.63,=,1,48
mavda,TMPRSS2,ASAP-0015229,0.475,=,1,48
mavda,TMPRSS2,ASAP-0015229,0.929,=,1,48
mavda,TMPRSS2,ASAP-0015227,0.428,=,1,48
mavda,TMPRSS2,ASAP-0015227,0.468,=,1,48
