Molecule Name,MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (uM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM)
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016506,0.064,7.57
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016505,0.184,7.35
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016504,1.375,6.57
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016503,0.747,6.83
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016440,91.232,4.45
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016439,,1.43
ASAP-0016438,68.716,4.6
ASAP-0016438,68.716,4.6
