Molecule Name,IC50 (Num),IC50 (Mod),Hill (Num),Minh_pIC50 (Num)
ASAP-0010721,4.274,=,0.969,4.79
ASAP-0010719,99.5,>,,4.44
ASAP-0010719,99.5,>,2.627,4.44
ASAP-0010719,12.278,=,1.141,4.44
ASAP-0010719,8.085,=,1.325,4.44
ASAP-0010714,19.955,=,2.34,5.4
ASAP-0010714,22.184,=,3.034,5.4
ASAP-0010713,99.5,>,,
ASAP-0010712,9.911,=,2.705,5.65
ASAP-0010712,17.451,=,2.335,5.65
ASAP-0010711,8.659,=,2.885,5.73
ASAP-0010711,11.31,=,2.765,5.73
ASAP-0008681,32.416,=,3.195,4.95
ASAP-0008680,99.5,>,,4.69
ASAP-0008677,99.5,>,,3.88
ASAP-0008675,13.551,=,2.815,5.48
ASAP-0008672,11.791,=,2.904,5.68
ASAP-0008671,33.323,=,3.106,5.11
ASAP-0008669,19.166,=,2.369,5.52
ASAP-0008667,94.83,=,4.065,4.52
ASAP-0008665,7.72,=,3.08,5.96
ASAP-0008663,99.5,>,,4.74
ASAP-0008661,53.045,=,3.581,4.73
ASAP-0008659,99.5,>,,5.44
ASAP-0008653,9.605,=,3.048,5.67
ASAP-0008652,99.5,>,,4.46
ASAP-0008642,15.148,=,2.69,5.36
ASAP-0008639,17.132,=,2.542,5.5
ASAP-0008638,99.5,>,,4.21
ASAP-0008636,78.462,=,2.66,4.72
ASAP-0008635,99.5,>,,4.21
ASAP-0008634,24.032,=,3.865,5.14
ASAP-0008632,99.5,>,,4.33
ASAP-0008631,41.128,=,3.443,4.92
ASAP-0008629,13.534,=,2.747,5.59
ASAP-0008628,99.5,>,,4
ASAP-0008627,37.523,=,3.163,4.81
ASAP-0008626,99.5,>,,4.67
ASAP-0008625,99.5,>,,4.25
ASAP-0008624,99.5,>,,4.29
ASAP-0008612,99.5,>,,4.34
ASAP-0008611,99.5,>,,4.25
