Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),Hill (Num),PGP,Hour_after,IC90 (Num) (uM),IC90 (Mod)
Mavda,TMPRSS2,ASAP-0013279,36,>,0.758,1,48,,
Mavda,TMPRSS2,ASAP-0013279,36,=,1.52,1,48,,
Mavda,TMPRSS2,ASAP-0013274,1.05,=,-9.64,1,48,,
Mavda,TMPRSS2,ASAP-0013274,1.36,=,-6.8,1,48,,
Mavda,TMPRSS2,ASAP-0013273,0.373,=,-2.84,1,48,,
Mavda,TMPRSS2,ASAP-0013273,0.639,=,-2.66,1,48,,
Mavda,TMPRSS2,ASAP-0013273,0.653,=,-2.83,1,48,,
Mavda,TMPRSS2,ASAP-0013272,1.11,=,-3.72,1,48,,
Mavda,TMPRSS2,ASAP-0013272,1.35,=,-9.72,1,48,,
Mavda,TMPRSS2,ASAP-0013266,4.7,=,-2.42,1,48,,
Mavda,TMPRSS2,ASAP-0013266,5.81,=,-2.33,1,48,,
Mavda,TMPRSS2,ASAP-0013265,0.309,=,-1.86,1,48,,
Mavda,TMPRSS2,ASAP-0013265,0.363,=,-1.35,1,48,,
Mavda,TMPRSS2,ASAP-0013265,0.525,=,-3.35,1,48,,
Mavda,TMPRSS2,ASAP-0013263,1.26,=,-14.6,1,48,,
Mavda,TMPRSS2,ASAP-0013263,2.38,=,-2.56,1,48,,
Mavda,TMPRSS2,ASAP-0013262,1.95,=,-3.77,1,48,,
Mavda,TMPRSS2,ASAP-0013262,2.01,=,-3.18,1,48,,
Mavda,TMPRSS2,ASAP-0013249,1.54,=,-2.93,1,48,,
Mavda,TMPRSS2,ASAP-0013249,2.42,=,-1.8,1,48,,
Mavda,TMPRSS2,ASAP-0012339,2.95,=,-4.16,1,48,,
Mavda,TMPRSS2,ASAP-0012339,3.52,=,-8.97,1,48,,
Mavda,TMPRSS2,ASAP-0012337,0.362,=,-2.33,1,48,,
Mavda,TMPRSS2,ASAP-0012337,0.742,=,-4.26,1,48,,
Mavda,TMPRSS2,ASAP-0012337,0.949,=,-3.97,1,48,,
Mavda,TMPRSS2,ASAP-0012335,1.13,=,-14.6,1,48,,
Mavda,TMPRSS2,ASAP-0012335,1.24,=,-14.3,1,48,,
Mavda,TMPRSS2,ASAP-0012333,1.32,=,,1,48,,
Mavda,TMPRSS2,ASAP-0012333,1.29,=,-6.89,1,48,,
