Experiment,Cell,Molecule Name,IC50 (uM),Hill,PGP,Hour_after
Mavda,TMPRSS2,ASAP-0000212,11.8,5.14,1,72
Mavda,TMPRSS2,ASAP-0000211,4.36,14.4,1,72
Mavda,TMPRSS2,ASAP-0000211,4.22,13.1,1,72
Mavda,TMPRSS2,ASAP-0000208,4.43,15,1,72
Mavda,TMPRSS2,ASAP-0000208,4.35,14.1,1,72
Mavda,TMPRSS2,ASAP-0000207,4.49,12.9,1,72
Mavda,TMPRSS2,ASAP-0000207,4.41,12.9,1,72
Mavda,TMPRSS2,ASAP-0000205,5.37,5.3,1,72
Mavda,TMPRSS2,ASAP-0000205,5.51,4.06,1,72
Mavda,TMPRSS2,ASAP-0000171,7.31,2.55,1,72
Mavda,TMPRSS2,ASAP-0000171,6.65,3.71,1,72
Mavda,TMPRSS2,ASAP-0000170,5.86,3.87,1,72
Mavda,TMPRSS2,ASAP-0000170,5.77,2.14,1,72
Mavda,TMPRSS2,ASAP-0000169,4.34,21.1,1,72
Mavda,TMPRSS2,ASAP-0000169,4.31,14.4,1,72
Mavda,TMPRSS2,ASAP-0000168,4.22,18.2,1,72
Mavda,TMPRSS2,ASAP-0000168,4.42,14.7,1,72
Mavda,TMPRSS2,ASAP-0000167,4.22,14.2,1,72
Mavda,TMPRSS2,ASAP-0000167,4.3,13.8,1,72
Mavda,TMPRSS2,ASAP-0000164,4.02,17.5,1,72
Mavda,TMPRSS2,ASAP-0000164,2.96,2.52,1,72
Mavda,TMPRSS2,ASAP-0000163,17.2,3.06,1,72
Mavda,TMPRSS2,ASAP-0000163,12.3,1.78,1,72
Mavda,TMPRSS2,ASAP-0000161,3.38,6.64,1,72
Mavda,TMPRSS2,ASAP-0000161,3.7,9.25,1,72
Mavda,TMPRSS2,ASAP-0000160,5.66,3.55,1,72
Mavda,TMPRSS2,ASAP-0000160,5.32,4.52,1,72
Mavda,TMPRSS2,ASAP-0000159,4.42,15.3,1,72
Mavda,TMPRSS2,ASAP-0000159,4.26,13.1,1,72
Mavda,TMPRSS2,ASAP-0000158,4.46,14.3,1,72
Mavda,TMPRSS2,ASAP-0000158,4.36,14.2,1,72
Mavda,TMPRSS2,ASAP-0000157,3.18,6.72,1,72
Mavda,TMPRSS2,ASAP-0000157,1.57,12.3,1,72
Mavda,TMPRSS2,ASAP-0000156,3.86,11.1,1,72
Mavda,TMPRSS2,ASAP-0000156,3.93,12.9,1,72
Mavda,TMPRSS2,ASAP-0000155,6.72,3.1,1,72
Mavda,TMPRSS2,ASAP-0000155,6.63,3.68,1,72
Mavda,TMPRSS2,ASAP-0000153,1.08,19.3,1,72
Mavda,TMPRSS2,ASAP-0000153,1.14,20.1,1,72
Mavda,TMPRSS2,ASAP-0000144,2.51,2.89,1,72
Mavda,TMPRSS2,ASAP-0000144,1.52,13.8,1,72
