Molecule Name,pIC50,hill
ASAP-0000153,6.5,2.667
ASAP-0000153,6.5,2.375
ASAP-0000153,6.5,2.29
ASAP-0000153,6.5,2.689
ASAP-0000153,6.5,2.517
ASAP-0000153,6.5,2.302
ASAP-0000153,6.5,2.722
ASAP-0000153,6.5,2.912
ASAP-0000153,6.5,2.242
ASAP-0000153,6.5,3.307
ASAP-0000153,6.5,2.241
ASAP-0000153,6.5,3
